date,fixtureType,cargoSize,voyageType,shipName,buildYear,dwt,freeText,loadPort,dischargePort,rateAndTerms,charterer,comment,fixtureString,freight,VESSEL TYPE
2025-12-22,VOYAGE: COAL,80000/10,coal,Pan Ocean TBN,0,80000,7/16 Jan,Newcastle,Boryeong,$10.54 fio 30000ltshinc/19000ltshinc,Kepco,,'Pan Ocean TBN' 80000/10 Newcastle/Boryeong 7/16 Jan $10.54 fio 30000ltshinc/19000ltshinc - Kepco,10.54,PMX
2025-12-22,VOYAGE: COAL,75000/10,coal,TBN,0,180000,21/30 Jan,Nacala,EC India,$12.85 fio 33000sshex/40000shinc,SAIL,,'TBN' 75000/10 Nacala/EC India 21/30 Jan $12.85 fio 33000sshex/40000shinc - SAIL,12.85,CAPE/VLOC
2025-12-23,VOYAGE: COAL,80000/10,coal,Pan Ocean TBN,0,80000,5/14 Jan,NPLCT,Hadong,$6.16 fio 25000satpmshexuu/21000shinc,Kepco,,'Pan Ocean TBN' 80000/10 NPLCT/Hadong 5/14 Jan $6.16 fio 25000satpmshexuu/21000shinc - Kepco,6.16,PMX
2025-12-23,VOYAGE: COAL,80000/10,coal,Woohyun Shipping tbn,0,80000,9/18 Jan,Balikpapan,Hadong,$6.10 fio 25000satpmshexuu/21000shinc,Kepco,,'Woohyun Shipping tbn' 80000/10 Balikpapan/Hadong 9/18 Jan $6.10 fio 25000satpmshexuu/21000shinc - Kepco,6.10,PMX
2026-01-02,VOYAGE: COAL,77000/10,coal,GNS tbn,0,0,1/10 Jan,Gladstone,Samcheonpo,$9.43 fio 30000satpmshex/21500LTshinc,Kepco,24/12/25,'GNS tbn' 77000/10 Gladstone/Samcheonpo 1/10 Jan $9.43 fio 30000satpmshex/21500LTshinc - Kepco - <24/12/25>,9.43,SMX/UMX/HANDY
2026-01-02,VOYAGE: COAL,70000/10,coal,TBN,0,180000,1/10 Feb,APCT-HPCT-DBCT,EC India,$14.00 fio alt. $13.70 fio Abbot Point 40000shinc/40000shinc,SAIL,24/12/25,'TBN' 70000/10 APCT-HPCT-DBCT/EC India 1/10 Feb $14.00 fio alt. $13.70 fio Abbot Point 40000shinc/40000shinc - SAIL - <24/12/25>,14.00,CAPE/VLOC
2026-01-05,VOYAGE: COAL,75000/10,coal,TBN,0,180000,15/24 Jan,RBCT,Paradip opt Dhamra,$13.50 fio 38000shinc/40000shinc,TGSP,,'TBN' 75000/10 RBCT/Paradip opt Dhamra 15/24 Jan $13.50 fio 38000shinc/40000shinc - TGSP,13.50,CAPE/VLOC
2026-01-05,VOYAGE: COAL,80000/10,coal,TBN,0,180000,1/10 Feb,Gladstone,EC India,$14.05 fio 35000shinc/20000sshex,SAIL,,'TBN' 80000/10 Gladstone/EC India 1/10 Feb $14.05 fio 35000shinc/20000sshex - SAIL,14.05,CAPE/VLOC
2026-01-07,VOYAGE: COAL,70000/10,coal,TBN,0,180000,15/25 Jan,Newcastle,Tieshan,$11.75 fio 35000shinc/15000shinc,ITG,,'TBN' 70000/10 Newcastle/Tieshan 15/25 Jan $11.75 fio 35000shinc/15000shinc - ITG,11.75,CAPE/VLOC
2026-01-07,VOYAGE: COAL,75000/10,coal,TBN,0,180000,1/10 Feb,APCT-HPCT-DBCT,EC India,$14.05 fio 35000shinc/35000shinc,SAIL,,'TBN' 75000/10 APCT-HPCT-DBCT/EC India 1/10 Feb $14.05 fio 35000shinc/35000shinc - SAIL,14.05,CAPE/VLOC
2026-01-08,VOYAGE: COAL,75000/10,coal,Scarlet Falcon,2014,82260,21/30 Jan,Dalrymple Bay,Paradip,$12.60 fio scale/15000shinc,Trafigura,,'Scarlet Falcon' 2014 75000/10 Dalrymple Bay/Paradip 21/30 Jan $12.60 fio scale/15000shinc - Trafigura,12.60,KMX
2026-01-08,VOYAGE: COAL,75000/10,coal,TBN,0,180000,1/10 Feb,APCT,EC India,$13.15 fio 35000shinc/35000shinc,SAIL,,'TBN' 75000/10 APCT/EC India 1/10 Feb $13.15 fio 35000shinc/35000shinc - SAIL,13.15,CAPE/VLOC
2026-01-08,VOYAGE: COAL,80000/10,coal,TBN,0,180000,15/24 Feb,Newport News - Norfolk,EC India,$30.95 fio 40000shinc/40000shinc,VSP,,'TBN' 80000/10 Newport News - Norfolk/EC India 15/24 Feb $30.95 fio 40000shinc/40000shinc - VSP,30.95,CAPE/VLOC
2026-01-08,VOYAGE: COAL,75000/10,coal,TBN,0,180000,4 Feb,Hampton Roads,Ijmuiden,$14.00 fio 25000shinc/20000shinc,Tata NYK,,'TBN' 75000/10 Hampton Roads/Ijmuiden 30 Jan/4 Feb $14.00 fio 25000shinc/20000shinc - Tata NYK,14.00,CAPE/VLOC
2026-01-08,VOYAGE: COAL,70000/5,coal,Cosco TBN,0,0,17/20 Jan,Newport News,Jorf Lasfar,$13.65 fio 30000shinc/30000shinc,Jera,,'Cosco TBN' 70000/5 Newport News /Jorf Lasfar 17/20 Jan $13.65 fio 30000shinc/30000shinc - Jera,13.65,SMX/UMX/HANDY
2026-01-09,VOYAGE: COAL,75000/10,coal,TBN,0,180000,10/19 Feb,Newport News - Norfolk,EC India,$32.85 fio 40000shinc/40000shinc,SAIL,,'TBN' 75000/10 Newport News - Norfolk/EC India 10/19 Feb $32.85 fio 40000shinc/40000shinc - SAIL,32.85,CAPE/VLOC
2026-01-09,VOYAGE: COAL,75000/10,coal,TBN,0,180000,10/19 Feb,Gladstone,EC India,$14.70 fio 35000shinc/35000shinc,VSP,,'TBN' 75000/10 Gladstone/EC India 10/19 Feb $14.70 fio 35000shinc/35000shinc - VSP,14.70,CAPE/VLOC
2026-01-09,VOYAGE: COAL,75000/10,coal,TBN,0,180000,1/10 Feb,Gladstone,EC India,$13.90 fio 35000shinc/35000shinc,SAIL,,'TBN' 75000/10 Gladstone/EC India 1/10 Feb $13.90 fio 35000shinc/35000shinc - SAIL,13.90,CAPE/VLOC
